                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85641,                  2.988,                 1.0191,                0.99308,                0.54958,                0.98176,                0.63129,                 1.1714,                 2.9052,                0.92002,                0.00048,                0.00048,                0.00048
                      2,                0.87212,                 1.6864,                0.93955,                0.00333,                      1,                0.49224,                0.20895,                  1.061,                 3.3841,                 1.1309,              0.0009703,              0.0009703,              0.0009703
                      3,                 0.8383,                 1.3923,                0.95381,                      1,                0.82701,                0.98907,                 0.6149,                 1.1957,                 2.5111,                 1.2686,              0.0014507,              0.0014507,              0.0014507
                      4,                0.77935,                 1.2048,                0.91556,                0.88864,                0.77395,                0.88149,                 0.5271,                 1.3452,                 2.1196,                 1.3874,              0.0019212,              0.0019212,              0.0019212
                      5,                0.80848,                 1.1137,                0.93871,                0.98435,                0.96378,                0.99207,                0.49271,                 1.6216,                 1.3429,                 1.6351,              0.0019208,              0.0019208,              0.0019208
                      6,                0.77039,                0.97434,                0.91614,                0.95926,                0.90219,                0.96296,                0.44645,                 1.7862,                 1.3502,                 1.6189,               0.001901,               0.001901,               0.001901
                      7,                0.78898,                0.95916,                0.91983,                 0.9857,                0.97701,                0.99395,                0.51895,                 1.5701,                 1.1059,                 1.5093,              0.0018812,              0.0018812,              0.0018812
                      8,                0.74359,                 0.8773,                0.91869,                0.95849,                0.97324,                0.99293,                0.63225,                 1.1844,                0.84881,                 1.1249,              0.0018614,              0.0018614,              0.0018614
                      9,                0.74566,                0.77054,                0.90757,                 0.8814,                0.93969,                0.95845,                0.58406,                 1.3385,                0.91831,                 1.2328,              0.0018416,              0.0018416,              0.0018416
                     10,                0.70571,                0.74356,                0.90194,                0.98396,                0.99617,                0.99434,                0.60818,                 1.2509,                0.63571,                 1.2115,              0.0018218,              0.0018218,              0.0018218
                     11,                0.67702,                0.65605,                0.89564,                0.98336,                      1,                0.99389,                 0.5537,                 1.4097,                 0.6425,                  1.317,               0.001802,               0.001802,               0.001802
                     12,                 0.6545,                0.62222,                0.88223,                0.98105,                0.99182,                0.99312,                0.55638,                 1.3796,                0.59629,                 1.2603,              0.0017822,              0.0017822,              0.0017822
                     13,                0.65248,                0.58875,                0.87452,                0.98476,                0.99052,                0.99127,                 0.5525,                 1.4334,                0.64577,                 1.3231,              0.0017624,              0.0017624,              0.0017624
                     14,                0.65587,                0.58277,                0.88617,                0.98695,                0.99617,                0.99481,                0.57129,                 1.3841,                0.64649,                 1.2519,              0.0017426,              0.0017426,              0.0017426
                     15,                0.65348,                 0.5597,                0.89117,                0.97736,                0.99617,                0.99156,                0.59676,                 1.3368,                0.53565,                 1.2221,              0.0017228,              0.0017228,              0.0017228
                     16,                  0.623,                0.53088,                0.87688,                0.98082,                      1,                0.99262,                0.64427,                 1.1741,                 0.5655,                 1.1017,               0.001703,               0.001703,               0.001703
                     17,                0.64177,                 0.5216,                0.87388,                0.97192,                0.99617,                0.99394,                0.63707,                 1.2133,                0.53617,                 1.1072,              0.0016832,              0.0016832,              0.0016832
                     18,                0.61905,                0.49169,                0.87983,                0.98778,                0.99617,                0.99397,                0.58534,                 1.3366,                0.53821,                 1.1893,              0.0016634,              0.0016634,              0.0016634
                     19,                0.59758,                0.48206,                0.86592,                0.99108,                0.99617,                0.99488,                0.59107,                 1.3544,                0.57414,                 1.2645,              0.0016436,              0.0016436,              0.0016436
                     20,                0.63462,                0.48446,                0.87345,                0.99093,                0.99617,                0.99489,                0.57395,                 1.4588,                0.60626,                 1.3243,              0.0016238,              0.0016238,              0.0016238
                     21,                0.61823,                0.47075,                0.87453,                0.99949,                      1,                  0.995,                0.64459,                 1.2257,                 0.4671,                 1.1427,               0.001604,               0.001604,               0.001604
                     22,                0.59846,                0.46371,                0.86323,                0.99999,                0.99234,                  0.995,                0.58108,                 1.5079,                0.56291,                 1.3045,              0.0015842,              0.0015842,              0.0015842
                     23,                0.60852,                0.46098,                0.87001,                0.97597,                      1,                0.99361,                0.58238,                 1.3885,                  0.571,                  1.317,              0.0015644,              0.0015644,              0.0015644
                     24,                 0.5879,                0.43611,                0.86332,                0.99518,                0.99617,                0.99492,                0.66177,                 1.1641,                0.48811,                 1.1103,              0.0015446,              0.0015446,              0.0015446
                     25,                0.58927,                 0.4451,                0.86785,                0.97891,                      1,                0.98872,                0.61668,                 1.3068,                0.59026,                 1.1832,              0.0015248,              0.0015248,              0.0015248
                     26,                0.61663,                0.46236,                0.87188,                 0.9843,                0.99617,                0.99374,                0.54345,                 1.4318,                 0.5668,                 1.3368,               0.001505,               0.001505,               0.001505
                     27,                0.58572,                0.42728,                0.85759,                      1,                0.99655,                  0.995,                0.66185,                 1.1933,                0.50067,                 1.1533,              0.0014852,              0.0014852,              0.0014852
                     28,                0.56864,                0.42897,                 0.8607,                0.98862,                0.99845,                  0.995,                0.58653,                 1.4178,                0.50778,                 1.2406,              0.0014654,              0.0014654,              0.0014654
                     29,                 0.6148,                0.43552,                0.86876,                0.98013,                      1,                0.98401,                0.57825,                 1.3605,                0.51712,                 1.2562,              0.0014456,              0.0014456,              0.0014456
                     30,                0.57926,                0.41336,                0.85713,                0.98447,                      1,                0.99454,                0.57372,                 1.4118,                0.53959,                 1.2579,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.5792,                0.40528,                0.85589,                0.98119,                0.99944,                0.99118,                0.64298,                 1.1978,                 0.4965,                 1.1345,               0.001406,               0.001406,               0.001406
                     32,                0.55721,                0.39782,                0.85723,                0.99906,                      1,                  0.995,                0.59635,                 1.4721,                0.53515,                 1.3239,              0.0013862,              0.0013862,              0.0013862
                     33,                0.56675,                0.40813,                0.85618,                      1,                0.99973,                  0.995,                 0.6464,                 1.1918,                 0.4947,                 1.1495,              0.0013664,              0.0013664,              0.0013664
                     34,                0.55261,                0.39673,                0.85874,                0.99408,                      1,                  0.995,                0.65453,                 1.2323,                 0.4954,                 1.1362,              0.0013466,              0.0013466,              0.0013466
                     35,                0.54803,                0.38608,                  0.848,                0.99514,                0.99617,                  0.995,                0.63706,                 1.2256,                0.47724,                 1.1655,              0.0013268,              0.0013268,              0.0013268
                     36,                0.56835,                0.39961,                0.84978,                 0.9886,                0.99646,                0.99496,                0.65883,                 1.1317,                0.44463,                 1.0897,               0.001307,               0.001307,               0.001307
                     37,                0.55632,                0.37796,                0.85186,                0.98338,                      1,                0.98684,                0.62439,                 1.1842,                0.48552,                 1.1284,              0.0012872,              0.0012872,              0.0012872
                     38,                0.54893,                0.37713,                0.85557,                0.98814,                      1,                0.99096,                0.64035,                 1.2201,                0.49774,                 1.1591,              0.0012674,              0.0012674,              0.0012674
                     39,                0.54206,                0.37233,                0.85117,                0.98103,                      1,                0.99174,                0.60632,                 1.3485,                0.51782,                 1.2491,              0.0012476,              0.0012476,              0.0012476
